category_id,name
1,Film & Animation
10,Music
2,Autos & Vehicles
20,Gaming
15,Pets & Animals
17,Sports
18,Short Movies
19,Travel & Events
22,People & Blogs
23,Comedy
24,Entertainment
25,News & Politics
26,Howto & Style
27,Education
28,Science & Technology
